,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8
PURCHASES_INSTALLMENTS_FREQUENCY,0.3644373415642452,0.35501031913196085,0.6842914905008632,0.1602983547540983,0.35677669414204194,0.687986061151079,0.2988077862371894,0.16660910818713442,0.6668872896698619,0.8174091792929273,0.29646139548872225,0.07722626938239163,0.1736910291845493,0.07597630769230769,0.7467262015306122,0.1808837222723174,0.471047153967007,0.825850927237911,0.28319858878504706,0.10541202178352627,0.47978264417670674,0.2932102189892806,0.09007911188811188,0.7463940290237465,0.24364165942028984,0.859658582278479,0.24085802189781022,0.850030908803372,0.6996822134831459,0.8469621734104049,0.2841189642301714,0.1802259600443951,0.10273867786705618,0.09330048892405063
CASH_ADVANCE_FREQUENCY,0.13401668815642637,0.06602845412478044,0.062349079447323076,0.4678352806557381,0.0637599134266459,0.06294235791366917,0.17100266032210845,0.4705292551169591,0.06454587113951019,0.03262122979797985,0.16989195488721814,0.09743475847568978,0.49580715708154427,0.1073012780841799,0.06443257142857142,0.5061331839495031,0.05139452710133551,0.03131504882719011,0.17506980841121506,0.05799447515316556,0.0523252457831326,0.17326924349157746,0.34594387412587374,0.06114573614775724,0.5886595978260869,0.030288895569620312,0.5897214799270073,0.02825219451765951,0.07053680149812733,0.06633712861271676,0.1759639440124418,0.038287690344062125,0.06257660299488692,0.3472881265822781
CASH_ADVANCE_TRX,3.0793296089385476,1.131482367959151,1.381692573402418,12.37311475409836,1.1237255918437878,1.3920863309352518,2.7013177159590045,12.912280701754385,1.4536741214057507,0.6199494949494949,2.6781954887218045,1.7553219448094612,13.958798283261803,1.958200290275762,1.7321428571428572,14.36248872858431,0.9379418695993715,0.5921493537577789,2.7663551401869158,0.9370319945541185,0.946987951807229,2.7335375191424194,7.668220668220668,1.5831134564643798,18.632246376811594,0.5743670886075949,18.687956204379564,0.5355824986821297,1.9438202247191012,1.3049132947976878,2.776049766718507,0.6415094339622641,1.0131482834185537,7.708860759493671
PURCHASES_TRX,14.151385474860328,8.993776926759216,52.595328151986294,6.154432786885246,9.425090720580611,53.416717625899395,5.392386530014641,6.6005190058479535,55.79003194888191,20.04779040404041,5.306766917293233,3.963994743758213,6.886274678111588,2.723076923076923,75.56441326530631,7.29712353471596,29.98396700706992,18.304236476783153,4.911214953271028,3.3230088495575223,30.631405622489964,5.009188361408882,3.0334110334110336,75.71435356200547,11.07519927536232,19.39427742616034,10.694361313868614,17.99736425935688,79.21970037453198,50.83342485549137,4.939346811819596,17.228634850166483,2.824689554419284,3.079113924050633
CREDIT_LIMIT,4474.419279395798,3467.990745992883,7633.678756476684,6211.380029806558,3623.685891226024,7668.75,2365.926431350506,6529.389287613305,7943.716719914803,3821.24283661532,2377.936470093828,3668.159598614192,6840.304330862661,3560.340942076923,9189.158163265307,6878.58431018936,6187.949010926159,3420.6276503666822,2378.859427745165,3380.2087587927163,6232.095655348594,2377.8372934339905,4873.831555650349,9273.482849604221,8015.670289855072,3476.472131654008,7999.726277372263,3414.992705121771,9769.662921348314,7184.754335260116,2394.599926302326,5592.8513772574925,3204.694424153762,4944.834819716772
PAYMENTS,1649.420363976092,974.9932066680389,3780.637357928671,2802.65689896131,1029.7495212966292,3864.745534824101,599.023424195608,2994.460339468127,4150.281292631309,1170.6319569654038,583.9306043091735,1053.6702903736125,3164.1607616465217,1049.6520377776483,6066.658380932651,3210.632454252658,2103.5810932003137,1033.49360519943,577.4340147112154,889.8519551486032,2129.64359174008,582.8935403791735,1859.3235012184928,6088.122775320314,4331.713335468474,1067.7414666045383,4297.663023264595,1027.355154441542,7135.645519928834,2903.818758067052,587.281799210887,1586.1983613258615,858.2464617606288,1888.4292133783247
MINIMUM_PAYMENTS,767.3038787598417,607.2857963474726,926.2350825120878,1304.216002388193,634.9460075463993,937.2542410458618,371.0628100342479,1386.8966037523355,969.4125647202968,689.2446277385951,374.97466951487417,623.5243295131797,1457.1483708980898,648.2841562151654,1372.4045849769338,1460.041689300339,564.544866001066,724.4475729375694,381.34793100989293,568.3515777112185,565.1018585554997,379.93410509934347,1053.2086718041267,1379.2897459233716,1736.7314126392728,743.1423422783672,1728.20636250299,705.3219113137719,1476.4538236570709,852.1721526662978,382.99149498654936,493.97466707702216,570.0096725760711,1065.1736329898347
PRC_FULL_PAYMENT,0.1537146484916212,0.15618294798149132,0.2873393290155439,0.042104017049180424,0.15090210316226121,0.29203239658273367,0.17760231039531482,0.0412523611111112,0.2988988700745473,0.23677182196969715,0.17623940300751878,0.09584297109067015,0.04345794678111595,0.07977369695210469,0.29237121428571444,0.04461425608656454,0.25377653102906544,0.24216707802776452,0.1680598785046729,0.09990516303607903,0.2563030064257031,0.17341087136294028,0.035867368298368375,0.29571019261213727,0.048577624999999985,0.24516871202531648,0.04756359306569341,0.24897638639957834,0.3408605767790262,0.24276839017341056,0.16810955209953346,0.22981018312985585,0.09429490577063565,0.03562870332278488
TENURE,11.51731843575419,11.51922770065422,11.881692573402418,11.232786885245902,11.898047347503024,11.908273381294965,7.396778916544656,11.646198830409357,11.89776357827476,11.908670033670033,7.336842105263158,11.883574244415243,11.602575107296138,11.882148040638606,11.936224489795919,11.586113615870154,11.87274155538099,11.884633796074677,7.285046728971962,11.883934649421375,11.875502008032129,7.3062787136294025,11.827505827505828,11.934036939313984,11.414855072463768,11.900316455696203,11.412408759124087,11.884554559831313,11.936329588014981,11.914739884393063,7.279937791601866,11.854605993340732,11.884952520087655,11.824367088607595
Monthly_average_purchase,78.01910307262557,43.122812882293516,327.0153619746689,32.351813114754094,44.49331014918495,334.2315167865705,32.60665080527088,34.248828581871344,362.665297302095,80.96195671997769,32.201348370927334,26.71060293473498,36.321809728183126,19.51637445573293,528.5615093537423,38.100338893898396,169.78472505891594,69.80423049305904,30.577387071651096,23.07682862491492,172.61070950468536,30.80172409392548,16.81929098679097,534.2919656992091,58.52126358695653,73.31781162095658,56.07625608272507,69.11260015814453,599.6832022471917,256.1827649325625,30.747899170554703,117.57210506844247,18.9381568054541,16.99735297995779
Monthly_cash_advance,77.99341434730908,27.86244229933243,36.024002755411615,315.876286772284,27.152302229955065,35.79343356258992,79.5332557665691,326.59881110635973,37.756790355804036,14.453623820145912,79.85747351789477,43.141619862395984,352.77814472260417,49.082084599758126,46.438657703869076,359.3603549424562,23.966178340599637,13.791160231251007,82.3987706549585,23.479093492426816,24.96570933440428,82.60009618246559,186.17447308506883,41.49802645435359,477.01029699169703,13.394160323356203,476.15212016958657,12.620370322043591,51.35532114519356,33.058403936054916,83.88470109976676,18.155440040880496,25.186322964998784,187.75672565102872
Limit_usage,0.38524314876990157,0.352250076191043,0.3008958271962459,0.5848771056446542,0.3587234342479639,0.29994618817207835,0.3405435884630262,0.5890805813816156,0.3028242465463388,0.293810589059489,0.3416007402637296,0.40729739339771026,0.591029339248574,0.4216301975663225,0.34392521216812877,0.5919710232622163,0.27825420678523133,0.2995742712346601,0.3490145561684169,0.36993205402977025,0.27578573902369974,0.34442749861150707,0.5914628678143116,0.3436221101335224,0.5912259942295579,0.3032696021313231,0.592741320753281,0.2943242249413145,0.3409979429763201,0.3124658654417713,0.34893292860416913,0.27367026725454463,0.37985006074715694,0.590607439184506
Pay_Min_Pay,5.5178739660320115,4.654188840650522,10.91944754913632,4.965541160478547,4.633489080782536,11.146581081746975,4.6960004410317016,5.094008933750468,11.850139669480711,4.964029897829957,4.577898370987702,4.531421512647511,5.301969559458767,4.392618724294078,13.725644094449786,5.419831064636189,8.141640431318566,4.593027296678528,4.520581095416686,4.564556885273419,8.277441749080394,4.539216760944674,4.185171275432483,13.85322336731946,5.718510843169292,4.700145185351288,5.697559988727005,4.679046589793503,15.758894526223253,9.096103166274439,4.561469357246837,7.163644789376936,4.450032554898222,4.203142108000453
cluster_3,0.47016759776536315,0.0,1.0,2.0,0.01261448073267669,1.0,0.42313323572474376,1.9985380116959064,1.0,0.09722222222222222,0.42406015037593986,0.11248357424441524,1.9982832618025752,0.1439767779390421,1.0025510204081634,1.9918845807033363,0.5946582875098193,0.03542364767831498,0.43457943925233644,0.0,0.6120481927710844,0.43032159264931086,1.2727272727272727,1.0,1.980072463768116,0.0290084388185654,1.9854014598540146,0.007380073800738007,1.00374531835206,0.9421965317919075,0.4370139968895801,0.2985571587125416,0.0,1.2943037974683544
cluster_4,0.7354189944134079,0.1707355991702569,0.9775474956822107,2.8721311475409834,0.0,1.0,2.0,3.0,1.0,0.10143097643097643,2.001503759398496,0.1521681997371879,2.9974248927038625,0.20319303338171263,1.0051020408163265,2.9828674481514876,0.5978004713275726,0.0646242221158449,2.0,0.0013614703880190605,0.6160642570281124,2.004594180704441,1.8694638694638694,1.0,2.9583333333333335,0.04430379746835443,2.968978102189781,0.03426462836056932,1.0074906367041199,0.930635838150289,2.004665629860031,0.3118756936736959,0.0014609203798392988,1.9011075949367089
cluster_5,2.210167597765363,2.225466730493059,0.2392055267702936,3.6439344262295084,2.243822360463107,0.1843525179856115,2.005856515373353,3.8165204678362574,0.0,1.0,2.0,3.0,4.0,3.011611030478955,0.01020408163265306,3.9711451758340846,1.201885310290652,1.0459550023934898,1.9984423676012462,2.9074200136147037,1.1558232931726908,2.0107197549770293,3.4312354312354314,0.0,3.927536231884058,1.003691983122363,3.9416058394160585,1.011070110701107,0.0149812734082397,0.30057803468208094,2.010886469673406,2.0355160932297447,2.9298758217677134,3.435126582278481
cluster_6,2.010614525139665,1.9542045635870433,2.3514680483592403,1.9836065573770492,1.6865387938482805,2.3093525179856114,4.855051244509517,1.7185672514619883,2.1618743343982962,3.848905723905724,4.950375939849624,0.3374507227332457,1.9261802575107296,0.0,1.0,2.0,3.0,4.0,5.0,0.26446562287270253,2.9823293172690764,4.966309341500765,0.951048951048951,1.0,1.9945652173913044,3.9862869198312234,1.9963503649635037,3.985239852398524,1.0,2.7052023121387285,4.981337480559875,2.4850166481687013,0.19576333089846604,0.9683544303797469
cluster_7,2.4652513966480445,2.238710706877294,2.175302245250432,3.6163934426229507,2.2540176257128044,2.183453237410072,2.0732064421669105,3.783625730994152,2.2747603833865813,4.928030303030303,2.0210526315789474,0.6113009198423127,3.9047210300429183,0.6200290275761974,3.931122448979592,3.9828674481514876,1.0227808326787118,5.448061273336525,2.0046728971962615,0.0,1.0,2.0,3.0,4.0,5.0,6.0,4.9963503649635035,5.831839746968898,4.00374531835206,1.8670520231213872,2.0,0.8523862375138734,0.02739225712198685,2.9849683544303796
cluster_8,4.118435754189944,4.2784426360299985,3.1666666666666665,4.18360655737705,4.318299637117677,3.129496402877698,3.966325036603221,4.152777777777778,3.053248136315229,1.736952861952862,3.9533834586466163,6.02233902759527,3.709871244635193,6.148330914368651,2.313775510204082,3.522993688007214,4.129615082482325,1.4509334609861178,4.014018691588785,5.881552076242341,4.108433734939759,3.9540581929555896,6.964257964257964,2.308707124010554,0.028985507246376812,1.0701476793248945,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0
